Hour,Temperature/K
6487.0,300.58
6488.0,300.58
6489.0,300.58
6490.0,300.58
6491.0,300.58
6492.0,300.58
6493.0,300.58
6494.0,300.58
6495.0,300.58
6496.0,300.58
6497.0,300.58
6498.0,300.58
6499.0,300.58
6500.0,300.58
6501.0,300.58
6502.0,300.58
6503.0,300.58
6504.0,299.9
6505.0,299.9
6506.0,299.9
6507.0,299.9
6508.0,299.9
6509.0,299.9
6510.0,299.9
6511.0,299.9
6512.0,299.9
6513.0,299.9
6514.0,299.9
6515.0,299.9
6516.0,299.9
6517.0,299.9
6518.0,299.9
6519.0,299.9
6520.0,299.9
6521.0,299.9
6522.0,299.9
6523.0,299.9
6524.0,299.9
6525.0,299.9
6526.0,299.9
6527.0,299.9
6528.0,299.71
6529.0,299.71
6530.0,299.71
6531.0,299.71
6532.0,299.71
6533.0,299.71
6534.0,299.71
6535.0,299.71
6536.0,299.71
6537.0,299.71
6538.0,299.71
6539.0,299.71
6540.0,299.71
6541.0,299.71
6542.0,299.71
6543.0,299.71
6544.0,299.71
6545.0,299.71
6546.0,299.71
6547.0,299.71
6548.0,299.71
6549.0,299.71
6550.0,299.71
6551.0,299.71
6552.0,300.64
6553.0,300.64
6554.0,300.64
6555.0,300.64
6556.0,300.64
6557.0,300.64
6558.0,300.64
6559.0,300.64
6560.0,300.64
6561.0,300.64
6562.0,300.64
6563.0,300.64
6564.0,300.64
6565.0,300.64
6566.0,300.64
6567.0,300.64
6568.0,300.64
6569.0,300.64
6570.0,300.64
6571.0,300.64
6572.0,300.64
6573.0,300.64
6574.0,300.64
6575.0,300.64
6576.0,300.54999999999995
6577.0,300.54999999999995
6578.0,300.54999999999995
6579.0,300.54999999999995
6580.0,300.54999999999995
6581.0,300.54999999999995
6582.0,300.54999999999995
6583.0,300.54999999999995
6584.0,300.54999999999995
6585.0,300.54999999999995
6586.0,300.54999999999995
6587.0,300.54999999999995
6588.0,300.54999999999995
6589.0,300.54999999999995
6590.0,300.54999999999995
6591.0,300.54999999999995
6592.0,300.54999999999995
6593.0,300.54999999999995
6594.0,300.54999999999995
6595.0,300.54999999999995
6596.0,300.54999999999995
6597.0,300.54999999999995
6598.0,300.54999999999995
6599.0,300.54999999999995
6600.0,300.84999999999997
6601.0,300.84999999999997
6602.0,300.84999999999997
6603.0,300.84999999999997
6604.0,300.84999999999997
6605.0,300.84999999999997
6606.0,300.84999999999997
6607.0,300.84999999999997
6608.0,300.84999999999997
6609.0,300.84999999999997
6610.0,300.84999999999997
6611.0,300.84999999999997
6612.0,300.84999999999997
6613.0,300.84999999999997
6614.0,300.84999999999997
6615.0,300.84999999999997
6616.0,300.84999999999997
6617.0,300.84999999999997
6618.0,300.84999999999997
6619.0,300.84999999999997
6620.0,300.84999999999997
6621.0,300.84999999999997
6622.0,300.84999999999997
6623.0,300.84999999999997
6624.0,300.88
6625.0,300.88
6626.0,300.88
6627.0,300.88
6628.0,300.88
6629.0,300.88
6630.0,300.88
6631.0,300.88
6632.0,300.88
6633.0,300.88
6634.0,300.88
6635.0,300.88
6636.0,300.88
6637.0,300.88
6638.0,300.88
6639.0,300.88
6640.0,300.88
6641.0,300.88
6642.0,300.88
6643.0,300.88
6644.0,300.88
6645.0,300.88
6646.0,300.88
6647.0,300.88
6648.0,299.81
6649.0,299.81
6650.0,299.81
6651.0,299.81
6652.0,299.81
6653.0,299.81
6654.0,299.81
6655.0,299.81
6656.0,299.81
6657.0,299.81
6658.0,299.81
6659.0,299.81
6660.0,299.81
6661.0,299.81
6662.0,299.81
6663.0,299.81
6664.0,299.81
6665.0,299.81
6666.0,299.81
6667.0,299.81
6668.0,299.81
6669.0,299.81
6670.0,299.81
6671.0,299.81
6672.0,299.42999999999995
6673.0,299.42999999999995
6674.0,299.42999999999995
6675.0,299.42999999999995
6676.0,299.42999999999995
6677.0,299.42999999999995
6678.0,299.42999999999995
6679.0,299.42999999999995
6680.0,299.42999999999995
6681.0,299.42999999999995
6682.0,299.42999999999995
6683.0,299.42999999999995
6684.0,299.42999999999995
6685.0,299.42999999999995
6686.0,299.42999999999995
6687.0,299.42999999999995
6688.0,299.42999999999995
6689.0,299.42999999999995
6690.0,299.42999999999995
6691.0,299.42999999999995
6692.0,299.42999999999995
6693.0,299.42999999999995
6694.0,299.42999999999995
6695.0,299.42999999999995
6696.0,299.58
6697.0,299.58
6698.0,299.58
6699.0,299.58
6700.0,299.58
6701.0,299.58
6702.0,299.58
6703.0,299.58
6704.0,299.58
6705.0,299.58
6706.0,299.58
6707.0,299.58
6708.0,299.58
6709.0,299.58
6710.0,299.58
6711.0,299.58
6712.0,299.58
6713.0,299.58
6714.0,299.58
6715.0,299.58
6716.0,299.58
6717.0,299.58
6718.0,299.58
6719.0,299.58
6720.0,299.90999999999997
6721.0,299.90999999999997
6722.0,299.90999999999997
6723.0,299.90999999999997
6724.0,299.90999999999997
6725.0,299.90999999999997
6726.0,299.90999999999997
6727.0,299.90999999999997
6728.0,299.90999999999997
6729.0,299.90999999999997
6730.0,299.90999999999997
6731.0,299.90999999999997
6732.0,299.90999999999997
6733.0,299.90999999999997
6734.0,299.90999999999997
